0.452,1.001,0
0.284,0.266,0
1.465,-0.244,0
1.152,0.694,0
-0.062,0.208,0
2.714,0.893,0
1.220,0.822,0
0.940,0.527,0
0.806,-0.470,0
-1.131,-0.369,0
1.028,-1.800,0
-0.803,-0.821,0
-0.084,1.203,0
1.366,1.672,0
0.642,1.733,0
-1.662,-0.753,0
-0.206,1.008,0
0.779,-0.744,0
-1.090,-0.112,0
1.016,-1.250,0
-1.244,0.434,0
-0.579,-0.047,0
-0.814,1.836,0
0.401,-1.491,0
-0.471,1.145,0
0.719,0.291,0
0.416,-0.849,0
2.657,-2.162,0
-1.314,-0.154,0
-1.654,-0.408,0
-0.660,-1.083,0
1.103,0.480,0
-0.447,0.290,0
0.615,0.328,0
0.223,-0.970,0
0.279,-2.050,0
-1.432,-2.511,0
-0.232,0.040,0
-0.139,-1.046,0
-1.779,-1.106,0
-0.715,0.123,0
-0.460,-0.072,0
-0.056,0.444,0
0.122,-0.634,0
-0.194,1.120,0
1.698,-0.574,0
1.104,-1.554,0
0.393,0.717,0
0.365,0.086,0
0.558,-0.386,0
-0.217,2.913,0
-1.055,0.069,0
-1.486,-2.095,0
-0.859,-1.991,0
0.193,0.578,0
0.431,0.538,0
-0.225,-0.469,0
1.467,-1.453,0
-0.166,-1.251,0
0.187,1.512,0
0.984,-0.830,0
-1.468,-1.705,0
0.080,1.121,0
-0.151,0.631,0
1.506,0.373,0
0.738,-0.177,0
1.910,-0.134,0
-0.408,1.858,0
-0.738,0.522,0
-0.768,0.355,0
-0.589,-0.763,0
-2.301,-0.977,0
-0.393,0.145,0
-0.128,-1.030,0
0.827,1.755,0
-1.840,1.092,0
0.075,0.163,0
-0.162,0.335,0
0.618,0.164,0
-0.404,-1.701,0
1.285,-1.156,0
1.964,1.783,0
1.848,1.268,0
-0.708,0.414,0
0.743,0.060,0
-0.580,0.388,0
-1.021,-0.014,0
-0.794,0.751,0
-0.425,1.057,0
0.350,0.041,0
0.944,0.296,0
-1.205,0.073,0
0.543,0.808,0
0.916,0.991,0
0.262,0.157,0
-1.593,1.366,0
-1.450,-1.797,0
-0.539,0.731,0
-1.310,-1.438,0
-0.514,-0.333,0
6.768,0.135,1
3.431,-1.975,1
8.434,-0.213,1
7.646,1.793,1
6.746,0.070,1
6.378,-1.478,1
8.000,2.192,1
4.793,-3.368,1
6.509,2.267,1
6.097,-0.089,1
4.444,-1.942,1
9.326,2.414,1
7.156,-0.555,1
9.269,0.652,1
7.101,3.061,1
5.868,0.518,1
8.565,2.970,1
4.735,1.423,1
7.766,0.687,1
2.480,-2.199,1
3.693,-2.062,1
6.239,-0.803,1
8.112,-0.955,1
5.636,0.663,1
5.130,0.404,1
4.863,-0.570,1
4.982,-0.938,1
5.493,-0.043,1
7.502,0.394,1
4.269,-1.160,1
6.131,-0.814,1
5.555,0.190,1
7.879,0.354,1
7.522,0.694,1
5.559,0.932,1
4.000,-3.042,1
7.454,1.644,1
4.874,-0.678,1
4.866,-0.565,1
4.417,-1.536,1
6.480,0.436,1
3.653,-0.883,1
4.699,-0.456,1
4.751,-0.698,1
6.271,-0.053,1
6.300,0.149,1
5.975,0.987,1
6.030,0.043,1
5.609,2.745,1
5.494,0.902,1
8.437,3.092,1
3.752,-0.794,1
6.170,-2.238,1
7.984,2.311,1
6.460,3.015,1
